Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2025-02-04,97871.8203125,101745.6171875,96208.109375,101398.71875,73002130211
2025-02-05,96615.4453125,99113.2109375,96174.828125,97878.0078125,49125911241
2025-02-06,96593.296875,99168.609375,95707.3515625,96610.640625,45302471947
2025-02-07,96529.0859375,100154.140625,95653.8828125,96581.3203125,55741290456
2025-02-08,96482.453125,96877.8046875,95702.4921875,96533.2578125,22447526395
2025-02-09,96500.09375,97325.28125,94745.2578125,96481.3125,27732901800
2025-02-10,97437.5546875,98333.21875,95320.84375,96499.4609375,40078962391
2025-02-11,95747.4296875,98492.8984375,94875.0390625,97438.1328125,37488783272
2025-02-12,97885.859375,98151.0234375,94101.203125,95745.6953125,49340445530
2025-02-13,96623.8671875,98111.0859375,95269.7109375,97888.75,37147280860
2025-02-14,97508.96875,98819.46875,96342.8046875,96623.3671875,32697987277
2025-02-15,97580.3515625,97975.0390625,97240.1953125,97508.3828125,17047266288
2025-02-16,96175.03125,97725.59375,96060.9765625,97580.4921875,16536755396
2025-02-17,95773.3828125,97032.234375,95243.546875,96179.0078125,27336550690
2025-02-18,95539.546875,96695.375,93388.8359375,95773.8125,37325720482
2025-02-19,96635.609375,96855.59375,95011.96875,95532.53125,28990872862
2025-02-20,98333.9375,98767.1953125,96442.671875,96632.6796875,31668022771
2025-02-21,96125.546875,99497.96875,94852.9609375,98340.671875,49608706470
2025-02-22,96577.7578125,96950.15625,95765.34375,96134.203125,18353824477
2025-02-23,96273.921875,96671.875,95270.453125,96577.8046875,16999478976
2025-02-24,91418.171875,96503.453125,91371.7421875,96277.9609375,44046480529
2025-02-25,88736.171875,92511.078125,86008.234375,91437.1171875,92139104128
2025-02-26,84347.0234375,89286.25,82131.8984375,88638.890625,64597492134
2025-02-27,84704.2265625,87000.78125,83144.9609375,84076.859375,52659591954
2025-02-28,84373.0078125,85036.3203125,78248.9140625,84705.625,83610570576
2025-03-01,86031.9140625,86522.3046875,83794.234375,84373.8671875,29190628396
2025-03-02,94248.3515625,95043.4375,85040.2109375,86036.2578125,58398341092
2025-03-03,86065.671875,94429.75,85081.3046875,94248.421875,70072228536
2025-03-04,87222.1953125,88911.2734375,81529.2421875,86064.0703125,68095241474
2025-03-05,90623.5625,90998.2421875,86379.7734375,87222.953125,50498988027
2025-03-06,89961.7265625,92804.9375,87852.140625,90622.359375,47749810486
2025-03-07,86742.671875,91191.046875,84717.6796875,89963.28125,65945677657
2025-03-08,86154.59375,86847.265625,85247.484375,86742.65625,18206118081
2025-03-09,80601.0390625,86471.1328125,80052.484375,86154.3046875,30899345977
2025-03-10,78532.0,83955.9296875,77420.59375,80597.1484375,54061099422
2025-03-11,82862.2109375,83577.7578125,76624.25,78523.875,54702837196
2025-03-12,83722.359375,84358.578125,80635.25,82857.375,40353484454
2025-03-13,81066.703125,84301.6953125,79931.8515625,83724.921875,31412940153
2025-03-14,83969.1015625,85263.2890625,80797.5625,81066.9921875,29588112414
2025-03-15,84343.109375,84672.671875,83639.59375,83968.40625,13650491277
2025-03-16,82579.6875,85051.6015625,82017.90625,84333.3203125,21330270174
2025-03-17,84075.6875,84725.328125,82492.15625,82576.3359375,25092785558
2025-03-18,82718.5,84075.71875,81179.9921875,84075.71875,24095774594
2025-03-19,86854.2265625,87021.1875,82569.7265625,82718.8046875,34931960257
2025-03-20,84167.1953125,87443.265625,83647.1953125,86872.953125,29028988961
2025-03-21,84043.2421875,84782.2734375,83171.0703125,84164.5390625,19030452299
2025-03-22,83832.484375,84513.875,83674.78125,84046.2578125,9863214091
2025-03-23,86054.375,86094.78125,83794.9140625,83831.8984375,12594615537
2025-03-24,87498.9140625,88758.7265625,85541.1953125,86070.9296875,34582604933
2025-03-25,87471.703125,88542.3984375,86346.078125,87512.8203125,30005840049
2025-03-26,86900.8828125,88292.15625,85861.453125,87460.234375,26704046038
2025-03-27,87177.1015625,87786.7265625,85837.9375,86896.2578125,24413471941
2025-03-28,84353.1484375,87489.859375,83557.640625,87185.234375,34198619509
2025-03-29,82597.5859375,84567.3359375,81634.140625,84352.0703125,16969396135
2025-03-30,82334.5234375,83505.0,81573.25,82596.984375,14763760943
2025-03-31,82548.9140625,83870.125,81293.890625,82336.0625,29004228247
2025-04-01,85169.171875,85487.3671875,82429.359375,82551.921875,28175650319
2025-04-02,82485.7109375,88466.953125,82343.5390625,85180.609375,47584398470
2025-04-03,83102.828125,83909.296875,81282.1015625,82487.4765625,36852112080
2025-04-04,83843.8046875,84696.1484375,81670.75,83100.25,45157640207
